section,id,rule,cols_raw
I. Style / prose rules — the duplicated core,SR-01,JARGON — strip institutional vocabulary,"production_orchestrator.py (pre-split) || writer, rewrite 28, GATE R10, REVIEW R13, registry jargon || 2026-08-04 || all 4 model calls || YES || PRODUCTION || WRITER (gen) + OTHER (gate) || DUPLICATE ×5 || "
I. Style / prose rules — the duplicated core,SR-02,NOMINALIZATION — actions stay verbs,"same || writer, rewrite 19, GATE R4, REVIEW R4, registry || 2026-08-01 || all 4 || YES || PRODUCTION || same || DUPLICATE ×5 || "
I. Style / prose rules — the duplicated core,SR-03,SYSTEM VOICE — no bureaucratic passive,"same || writer, rewrite 18, GATE R17, REVIEW R5, registry || 2026-08-09 || all 4 || YES || PRODUCTION || same || DUPLICATE ×5** (number collision) || "
I. Style / prose rules — the duplicated core,SR-04,VAGUE WE — 'we' needs a referent,"same || writer, rewrite 19b, GATE R5, REVIEW R6, registry || 2026-08-01 || all 4 || YES || PRODUCTION || same || DUPLICATE ×5** (collision) || "
I. Style / prose rules — the duplicated core,SR-05,FRONT-LOADED SENTENCE,"same || writer, rewrite 21, GATE R6, REVIEW R7, registry || 2026-08-01 || all 4 || YES || PRODUCTION || same || DUPLICATE ×5 || "
I. Style / prose rules — the duplicated core,SR-06,LONG LIST / LISTS OF THREE (+payoff exception),"same || writer, rewrite 13, GATE R8, REVIEW R10, registry || 2026-08-04 || all 4 || YES || PRODUCTION || same || DUPLICATE ×5** — exception text differs per copy || "
I. Style / prose rules — the duplicated core,SR-07,PARAGRAPH LENGTH ≤5 sentences,"same || writer, rewrite 23, GATE R7, REVIEW R8, registry || 2026-08-01 || all 4 || YES || PRODUCTION || same || DUPLICATE ×5 + CONTRADICTED** (C6) || "
I. Style / prose rules — the duplicated core,SR-08,SECTION BREAKS ≤3 ---,"same || writer, rewrite 18b, GATE R9, REVIEW R9, registry || 2026-08-01 || all 4 || YES || PRODUCTION || same || DUPLICATE ×5 || "
I. Style / prose rules — the duplicated core,SR-09,NAMED REFERENCES — name + 1 sentence,"same || writer, rewrite 20, REVIEW R12, registry || 2026-08-01 || 3 || YES || PRODUCTION || WRITER || DUPLICATE ×4 || "
I. Style / prose rules — the duplicated core,SR-10,NO DECODING REQUIRED,"same || writer, rewrite 35b, REVIEW R14, registry || 2026-08-01 || 3 || YES || PRODUCTION || WRITER || DUPLICATE ×4 || "
I. Style / prose rules — the duplicated core,SR-11,CRAFTED RHETORIC (6 sub-devices + exemptions),"same || writer, GATE R15, REVIEW R16, registry || 2026-08-04 || 3 || YES || PRODUCTION || OTHER (gate) || DUPLICATE ×4 — RISKY**, exemption text diverges || "
I. Style / prose rules — the duplicated core,SR-12,ONE IDEA PER SENTENCE,"same || writer, GATE R16, REVIEW R17, registry || 2026-08-01 || 3 || YES || PRODUCTION || OTHER (gate) || DUPLICATE ×4 || "
I. Style / prose rules — the duplicated core,SR-13,"ENDING — no house shape, 5 valid","same || writer, rewrite 7 + 25, REVIEW R11, registry || 2026-08-01 || 3 || YES || PRODUCTION || WRITER || DUPLICATE ×4 — **verified consistent || "
I. Style / prose rules — the duplicated core,SR-14,INLINE PARENTHETICAL DEFINITIONS,"same || writer, rewrite 16, GATE R1, REVIEW R1 || ? || 4 || YES || PRODUCTION || OTHER (gate) || DUPLICATE ×4, **absent from registry || "
I. Style / prose rules — the duplicated core,SR-15,PLAIN VOCABULARY / LATINATE,"same || writer ×2, rewrite 17, GATE R2, REVIEW R2 || ? || 4 || YES || PRODUCTION || WRITER || DUPLICATE ×5 incl. **twice inside one prompt** (C7) || "
I. Style / prose rules — the duplicated core,SR-16,ONE MODIFIER PER NOUN,"same || writer, rewrite 12, GATE R3, REVIEW R3 || ? || 4 || YES || PRODUCTION || OTHER (gate) || DUPLICATE ×4, absent from registry || "
I. Style / prose rules — the duplicated core,SR-17,SUBJECT-VERB DISTANCE,"? || GATE R14, REVIEW R15, registry || 2026-08-01 || 2 || YES || PRODUCTION || OTHER (gate) || DUPLICATE ×3 — **not in writer prompt** (check-only) || "
I. Style / prose rules — the duplicated core,SR-18,META-LANGUAGE COMMENTARY,"writer prompt || writer, REVIEW R18, registry || 2026-08-09 || 2 || YES || PRODUCTION || WRITER || DUPLICATE ×3 || "
I. Style / prose rules — the duplicated core,SR-19,STACKED TEMPORAL CLAUSES,"writer prompt || writer, REVIEW R19, registry || 2026-08-09 || 2 || YES || PRODUCTION || WRITER || DUPLICATE ×3 || "
I. Style / prose rules — the duplicated core,SR-20,LATINATE CLUSTERS / CULTURAL STUDIES VOCAB wordlists,"? || GATE R2, R12 || ? || gate || YES || PRODUCTION || OTHER || ACTIVE || "
I. Style / prose rules — the duplicated core,SR-21,RHYTHMIC MONOTONY (+anaphora exception),? || GATE R13 || ? || gate || YES || PRODUCTION || OTHER || ACTIVE || 
I. Style / prose rules — the duplicated core,SR-22,LONG SENTENCE >30 words,? || GATE R11 || ? || gate || YES || PRODUCTION || OTHER || ACTIVE || 
II. Writer-prompt rules with no architectural owner,WP-01,WRITING MODEL — RUTGER BREGMAN (process not residue),writer + rewrite 27 || ~2026-08-07 (bregman-* analysis docs) || YES || PRODUCTION || NONE || ACTIVE — superseded in spirit by SOFA §10 || 
II. Writer-prompt rules with no architectural owner,WP-02,'ARGUMENT' — NEAR-ZERO (cites 63/138 corpus stat),writer || 2026-08 corpus audit || YES || PRODUCTION || NONE || ACTIVE || 
II. Writer-prompt rules with no architectural owner,WP-03,ANTI-SYSTEMIC TEST (read aloud / committee),writer || ? || YES || PRODUCTION || NONE || ACTIVE — overlaps SR-03 || 
II. Writer-prompt rules with no architectural owner,WP-04,DISCOVERY VOICE (stock realisation phrases),writer + rewrite 24 || ? || YES || PRODUCTION || NONE || ACTIVE — tension with WP-05 || 
II. Writer-prompt rules with no architectural owner,WP-05,SIGNPOST PHRASES AT TRANSITIONS (prescribes) vs NO SIGNPOSTING (forbids),"writer, both || ? || YES || PRODUCTION || NONE || ACTIVE — internally uneasy pair || "
II. Writer-prompt rules with no architectural owner,WP-06,MICROSCOPE AND TELESCOPE,"writer || ? || YES || PRODUCTION || NONE || ACTIVE, unchecked || "
II. Writer-prompt rules with no architectural owner,WP-07,END-WEIGHT,"writer || ? || YES || PRODUCTION || NONE || ACTIVE, unchecked || "
II. Writer-prompt rules with no architectural owner,WP-08,PARAGRAPH MOMENTUM / LANDING,"writer + rewrite 14,15 || ? || YES || PRODUCTION || NONE || ACTIVE, unchecked || "
II. Writer-prompt rules with no architectural owner,WP-09,"ONE APHORISM, MAXIMUM","writer + rewrite 27,40 || ? || YES || PRODUCTION || NONE || ACTIVE — interacts with WP-10 ceiling || "
II. Writer-prompt rules with no architectural owner,WP-10,TRANSLATE ONE ABSTRACTION (+ rewrite 35c protect-one),writer + rewrite 35c || ? || YES || PRODUCTION || NONE || ACTIVE — 35c is the longest single rule in the codebase || 
II. Writer-prompt rules with no architectural owner,WP-11,"ARRIVAL PARAGRAPH — optional, costs the aphorism",writer + rewrite 40 || ? || YES || PRODUCTION || NONE || ACTIVE || 
II. Writer-prompt rules with no architectural owner,WP-12,FORBIDDEN DEFAULTS (ramp/curb cut/grab rail/…),"writer || ? || YES || PRODUCTION || NONE || ACTIVE — negative, carries the banned nouns || "
II. Writer-prompt rules with no architectural owner,WP-13,US-AVOIDANCE (writer) / US-AVOIDANCE + **UK-PREFERENCE** (rewrite 32),"writer bullet, rewrite 32 || ? || YES || PRODUCTION || NONE || DIVERGENT** — rewrite adds a geography preference the writer never sees || "
II. Writer-prompt rules with no architectural owner,WP-14,TITLE RULES — NON-NEGOTIABLE (6 bullets + recent titles),"writer, built in generate.py:773 || ? || YES || PRODUCTION || NONE || ACTIVE, unchecked || "
II. Writer-prompt rules with no architectural owner,WP-15,FORBIDDEN ACADEMIC JARGON wordlist (17 terms),writer || ? || YES || PRODUCTION || overlaps SR-01 || ACTIVE || 
II. Writer-prompt rules with no architectural owner,WP-16,FORBIDDEN CORPORATE/JOURNALESE CLICHÉS (9 terms),writer || ? || YES || PRODUCTION || NONE || ACTIVE || 
II. Writer-prompt rules with no architectural owner,WP-17,NO EMPTY GRANDEUR,writer || ? || YES || PRODUCTION || NONE || ACTIVE || 
II. Writer-prompt rules with no architectural owner,WP-18,SHOW THEN NAME,writer + rewrite 34 || ? || YES || PRODUCTION || NONE || ACTIVE || 
II. Writer-prompt rules with no architectural owner,WP-19,TEMPORAL ANCHORS / PERSONAL ANECDOTE SPECIFICITY,writer + rewrite 29 || ? || YES || PRODUCTION || partial: grounding || ACTIVE || 
II. Writer-prompt rules with no architectural owner,WP-20,HISTORICAL/BIOGRAPHICAL ANECDOTE TEST,writer || 2026-08-17 (AR3 kept it) || YES || PRODUCTION || NONE || ACTIVE || 
II. Writer-prompt rules with no architectural owner,WP-21,FIND SOMETHING OUT — NON-NEGOTIABLE,writer || ? || YES || PRODUCTION || NONE || ACTIVE || 
II. Writer-prompt rules with no architectural owner,WP-22,DO NOT MANAGE THE READER,writer + rewrite 27(a) || ? || YES || PRODUCTION || NONE || ACTIVE || 
II. Writer-prompt rules with no architectural owner,WP-23,NO ENCYCLOPEDIC APPOSITIVES,writer || ? || YES || PRODUCTION || NONE || ACTIVE || 
II. Writer-prompt rules with no architectural owner,WP-24,HUMAN THREAD — NON-NEGOTIABLE,writer + rewrite 36 (ANALYTICAL WALL) || ? || YES || PRODUCTION || NONE || ACTIVE || 
II. Writer-prompt rules with no architectural owner,WP-25,AUTHOR RULE — BY not ABOUT,writer + rewrite 10b + llm.py:232 SYSTEM || early || YES || PRODUCTION || SOFA METHOD (§2/§4 restate it) || ACTIVE — closest thing to a canonical rule surviving intact || 
II. Writer-prompt rules with no architectural owner,WP-26,GROUNDING — argument lives in the body,writer + rewrite 31 || ? || YES || PRODUCTION || NONE || ACTIVE — *not* Writer Grounding; unrelated || 
II. Writer-prompt rules with no architectural owner,WP-27,NO HEDGING AGAINST NOBODY,writer + rewrite 30 || ? || YES || PRODUCTION || NONE || ACTIVE || 
II. Writer-prompt rules with no architectural owner,WP-28,READER ADDRESS / voice the objection,writer || ? || YES || PRODUCTION || NONE || ACTIVE || 
II. Writer-prompt rules with no architectural owner,WP-29,TRANSLATE LARGE NUMBERS TO HUMAN SCALE,writer || ? || YES || PRODUCTION || NONE || ACTIVE || 
II. Writer-prompt rules with no architectural owner,WP-30,REGISTER — smart person explaining to a friend,writer + rewrite 11 || ? || YES || PRODUCTION || overlaps _REGISTERS || ACTIVE || 
II. Writer-prompt rules with no architectural owner,WP-31,SENTENCE LENGTH / no chained comma-clauses,writer + rewrite 5 || ? || YES || PRODUCTION || overlaps GATE R11 || ACTIVE || 
II. Writer-prompt rules with no architectural owner,WP-32,REPLACE THE METAPHOR URGE WITH ACCUMULATION,writer || 2026-08 Bregman pass || YES || PRODUCTION || overlaps SR-11 || ACTIVE || 
II. Writer-prompt rules with no architectural owner,WP-33,RHETORICAL QUESTIONS — two patterns,writer || 2026-08 Bregman pass || YES || PRODUCTION || NONE || ACTIVE || 
II. Writer-prompt rules with no architectural owner,WP-34,A PLAIN LIST CAN REPEAT VERBATIM AS A REFRAIN,writer || 2026-08 Bregman pass || YES || PRODUCTION || carve-out to SR-11 || ACTIVE || 
II. Writer-prompt rules with no architectural owner,WP-35,WRITE LIKE THIS PERSON / persona voice framing,"writer opening || early || YES || PRODUCTION || PERSONA/BYLINE || CONTRADICTED** by SOFA §4 (C4, documented divergence) || "
III. Testimony / named voices,TV-01,HUMAN TESTIMONY / NAMED VOICES — zero is valid,generate.py:882 || 2026-08-17 AR3A (3225ea1) || YES || PRODUCTION || WRITER || ACTIVE — current canonical form || 
III. Testimony / named voices,TV-02,NAMED VOICES: 2-3 real named people … REQUIRED,llm.py rewrite rule 33 || pre-AR3 || YES || PRODUCTION || none — retired in writer || CONTRADICTED / SHOULD HAVE MIGRATED — C1 || 
III. Testimony / named voices,TV-03,SOMEONE ELSE MUST SPEAK (quote in quotation marks required),llm.py rewrite rule 33b || pre-AR3 || YES || PRODUCTION || none || CONTRADICTED / SHOULD HAVE MIGRATED — C1 || 
III. Testimony / named voices,TV-04,"INSIDER WITNESS — protect if present, never invent",rewrite 35 || ? || YES || PRODUCTION || NONE || ACTIVE — correctly phrased (protect-not-install) || 
III. Testimony / named voices,TV-05,L2 testimony companion sourcing,testimony_l2.py || 2026-08-14 (l2-testimony-design) || NO || SHADOW || WRITER || PARKED (L2_TESTIMONY_MODE=OFF) || 
IV. Grounding / evidence,GR-01,Evidence packet + source hash / truncation honesty,"grounding.py:build_evidence_packet || Phase 1.6, 2026-08-11 || YES || PRODUCTION || WRITER GROUNDING (production arm) || ACTIVE || "
IV. Grounding / evidence,GR-02,Evidence-candidate field schema + status=not_found,grounding.py:validate_evidence_field || Phase 1.6 || YES || PRODUCTION || STORY REJECTION / WRITER || ACTIVE || 
IV. Grounding / evidence,GR-03,find_new_unsupported_specifics — reject new specifics in a rewrite,grounding.py || Phase 1.6 || YES || PRODUCTION || WRITER GROUNDING || ACTIVE || 
IV. Grounding / evidence,GR-04,Fallback-summary is NOT source authority,writer prompt + planner NO SOURCE TEXT block || Phase 1.6 || YES || PRODUCTION || WRITER GROUNDING || ACTIVE || 
IV. Grounding / evidence,GR-05,_EXECUTOR_CONTRACT + persona-history contract,"llm.py:61, :101 || Phase 1.6 || YES || PRODUCTION || WRITER GROUNDING || ACTIVE || "
IV. Grounding / evidence,GR-06,Evidence lineage containment checks,generate.py _writer_evidence_entry || Phase 1.6 || YES || PRODUCTION || WRITER GROUNDING || ACTIVE || 
IV. Grounding / evidence,GR-07,Source-relative unsupported-proposition arbitration (V0–V6),.claude/experiments/writer-grounding-* || 2026-08-19 || NO || SHADOW || WRITER GROUNDING || PARKED — owner stop in force || 
V. Story Rejection,ST-01,LAYER 1 commissionability — commission / decline,llm.py::_fable_editorial_brief _layer1_block || V1 released 2026-08-17 || YES || PRODUCTION || STORY REJECTION || ACTIVE || 
V. Story Rejection,ST-02,Decline ≠ persona unavailability; never decline on insufficient evidence,same || V1 || YES || PRODUCTION || STORY REJECTION || ACTIVE || 
V. Story Rejection,ST-03,validate_source_decision + contract version + decline persistence,"grounding.py, discovery.py:1443 || V1 / V1.1 || YES || PRODUCTION || STORY REJECTION || ACTIVE || "
V. Story Rejection,ST-04,Commission path grounding verification,"_validate_commission_grounding, _verify_commission_mechanism_support || V1.1 || YES || PRODUCTION || STORY REJECTION || ACTIVE — memory records first commission was FC2 (false/permissive), N=1, deliberately unpatched || "
V. Story Rejection,ST-05,LAYER 2 eligible-persona constraint (PRF1 rotation),_eligible_constraint || PRF1 || YES || PRODUCTION || PERSONA/BYLINE || ACTIVE || 
VI. Persona / byline (PRF1),PB-01,AGENTS[*].prompt_block — 4 persona voice blocks,personas.py:15 || early || YES || PRODUCTION || PERSONA/BYLINE || ACTIVE || 
VI. Persona / byline (PRF1),PB-02,persona_canon/*.md — 5 canon files,automation/persona_canon/ || 2026-06 / 2026-08 || YES || PRODUCTION || PERSONA/BYLINE || ACTIVE — injected twice per prompt (C3) || 
VI. Persona / byline (PRF1),PB-03,Two provenance modes (real-person-evidence vs editorial-canon),llm.py:589 || 2026-08-14 || YES || PRODUCTION || PERSONA/BYLINE || ACTIVE || 
VI. Persona / byline (PRF1),PB-04,## PENDING VERIFICATION structurally excluded,same || 2026-08-14 || YES || PRODUCTION || PERSONA/BYLINE || ACTIVE || 
VI. Persona / byline (PRF1),PB-05,_INDEFENSIBLE_PROMPTS — 4 persona-specific forms,config.py:183 || ? || YES || PRODUCTION || ARTICLE FORM || ACTIVE || 
VI. Persona / byline (PRF1),PB-06,_AGENT_BEATS — persona subject territories,config.py:258 || early || YES || PRODUCTION || none || CONTRADICTED by SOFA §2 (C5) || 
VI. Persona / byline (PRF1),PB-07,_PERSONA_CONFLICTS / fault lines,config.py:274 || ? || YES || PRODUCTION || PERSONA/BYLINE || ACTIVE || 
VI. Persona / byline (PRF1),PB-08,Persona cross-cite accuracy check,fact_check.py || ? || YES || PRODUCTION || PERSONA/BYLINE || ACTIVE || 
VI. Persona / byline (PRF1),PB-09,YOUR WOUND extraction,llm.py:580 || early || YES || PRODUCTION || PERSONA/BYLINE || ACTIVE || 
VI. Persona / byline (PRF1),PB-10,Persona mutable state (obsessions/arguments/mood),persona_state/ || early || YES || PRODUCTION || PERSONA/BYLINE || ACTIVE || 
VI. Persona / byline (PRF1),PB-11,assert_no_persona_leakage (SOFA lens/writer separation),sofa_discovery_shadow.py:619 || 2026-08-18 || NO || SHADOW || SOFA METHOD || PARKED || 
VII. Article form / register / length,AF-01,_ARTICLE_TYPES — 9 weighted forms,config.py:140 || ? || YES || PRODUCTION || ARTICLE FORM || ACTIVE || 
VII. Article form / register / length,AF-02,_REGISTERS — 6 weighted registers,config.py:115 || ? || YES || PRODUCTION || ARTICLE FORM || ACTIVE — overlaps WP-30 || 
VII. Article form / register / length,AF-03,_LENGTHS — 6 weighted word buckets,"config.py:131 || 2026-08-04 || YES || PRODUCTION || ARTICLE FORM || ACTIVE — **tension with SOFA §9 ""no fixed word count"" || "
VII. Article form / register / length,AF-04,Article-type compliance check + repair,"gate.py:27,51,530 || ? || YES || PRODUCTION || ARTICLE FORM || ACTIVE — known efficacy gap on record || "
VII. Article form / register / length,AF-05,SOFA Article Form stage,SOFA-METHOD.md §9 || 2026-08-19 || NO || SHADOW || SOFA METHOD || PARKED || 
VIII. Discovery / anti-repetition nudges,DI-01,_get_beat_nudge,discovery.py:464 || YES || PRODUCTION || none || ACTIVE — see C5 || 
VIII. Discovery / anti-repetition nudges,DI-02,_get_scholar_nudge / _get_blocked_theorists,"discovery.py:737,854 || YES || PRODUCTION || none || ACTIVE || "
VIII. Discovery / anti-repetition nudges,DI-03,_get_recent_dates_nudge,discovery.py:442 || YES || PRODUCTION || none || ACTIVE || 
VIII. Discovery / anti-repetition nudges,DI-04,_get_shape_nudge / _STRUCTURAL_SHAPES,discovery.py:699 || YES || PRODUCTION || none || ACTIVE || 
VIII. Discovery / anti-repetition nudges,DI-05,_get_calendar_event_nudge,discovery.py:791 || YES || PRODUCTION || none || ACTIVE || 
VIII. Discovery / anti-repetition nudges,DI-06,_get_claims_nudge,discovery.py:812 || YES || PRODUCTION || none || ACTIVE || 
VIII. Discovery / anti-repetition nudges,DI-07,_get_recent_title_patterns / _check_title_freshness,"discovery.py:891,271 || YES || PRODUCTION || none || ACTIVE || "
VIII. Discovery / anti-repetition nudges,DI-08,_get_overused_themes / _THEME_CLUSTERS,discovery.py:618 || YES || PRODUCTION || none || ACTIVE || 
VIII. Discovery / anti-repetition nudges,DI-09,_get_recent_openings (planner),discovery.py:907 || YES || PRODUCTION || none || ACTIVE || 
